Background

Energy(keV), Phot/Decay,    Nuclide, Decay_Mode
    329.851, 1.249e-03,     Th-227, Alpha 
    191.353, 1.230e-03,     Ac-228, Beta- 
     53.200, 1.230e-03,      U-234, Alpha 
    440.440, 1.210e-03,     Ac-228, Beta- 
     87.892, 1.200e-03,     Pb-212, Bi X-Ray
    327.450, 1.200e-03,     Ac-228, Beta- 
    348.920, 1.200e-03,     Bi-214, Beta- 
     89.256, 1.160e-03,     Bi-214, Po X-Ray
    300.070, 1.159e-03,     Pa-231, Alpha 
    549.760, 1.140e-03,     Rn-220, Alpha 
    105.604, 1.128e-03,      U-235, Th X-Ray
    204.026, 1.120e-03,     Ac-228, Beta- 
   1303.760, 1.120e-03,     Bi-214, Beta- 
    583.410, 1.110e-03,     Ac-228, Beta- 
    233.360, 1.105e-03,     Tl-208, Beta- 
    474.410, 1.100e-03,     Bi-214, Beta- 
    826.300, 1.100e-03,     Bi-214, Beta- 
    674.160, 1.090e-03,     Ac-228, Beta- 
    300.000, 1.078e-03,     Th-227, Alpha 
    947.982, 1.060e-03,     Ac-228, Beta- 
     87.300, 1.053e-03,     Tl-208, Pb X-Ray
    166.410, 1.036e-03,     Th-228, Alpha 
    302.650, 1.031e-03,     Pa-231, Alpha 
    523.131, 1.030e-03,     Ac-228, Beta- 
     97.530, 1.010e-03,     Ra-223, Rn X-Ray
    107.595, 1.000e-03,     Th-234, Pa X-Ray
   1103.640, 1.000e-03,     Bi-214, Beta- 
   1592.500,         NA,       D.E., Escape
   2103.500,         NA,       S.E., Escape
